Date,Year,Month,Potato_Price_CWT,Real_Potato_Price,CPI_AllItems,CPI_Vegetables,PPI_FarmProducts,Avg_Temp_F,Precipitation_inch,Annual_Production_CWT,Price_Imputed
1995-01-01,1995,1,4.83,3.2093,150.5,147.4,76.5,33.08,3.18,445099000.0,0
1995-02-01,1995,2,4.97,3.2936,150.9,147.6,82.5,37.36,1.6,445099000.0,0
1995-03-01,1995,3,5.37,3.5516,151.2,148.1,80.9,43.34,2.99,445099000.0,0
1995-04-01,1995,4,5.41,3.5639,151.8,148.3,86.8,49.41,2.82,445099000.0,0
1995-05-01,1995,5,5.86,3.8527,152.1,148.6,92.3,58.62,4.1,445099000.0,0
1995-06-01,1995,6,7.12,4.6719,152.4,148.8,85.9,67.53,3.22,445099000.0,0
1995-07-01,1995,7,8.75,5.7339,152.6,149.1,91.3,73.53,2.65,445099000.0,0
1995-08-01,1995,8,6.64,4.3427,152.9,149.4,96.9,74.3,2.66,445099000.0,0
1995-09-01,1995,9,5.76,3.7622,153.1,149.6,102.0,64.67,2.2,445099000.0,0
1995-10-01,1995,10,6.3,4.1042,153.5,150.0,104.8,54.45,2.63,445099000.0,0
1995-11-01,1995,11,6.39,4.1574,153.7,150.2,115.2,42.03,2.37,445099000.0,0
1995-12-01,1995,12,6.33,4.1131,153.9,150.4,134.7,33.42,2.25,445099000.0,0
1996-01-01,1996,1,6.65,4.2986,154.7,150.6,134.2,29.7,2.82,499254000.0,0
1996-02-01,1996,2,6.92,4.4645,155.0,150.9,119.5,35.69,1.89,499254000.0,0
1996-03-01,1996,3,7.51,4.8296,155.5,151.2,131.3,39.02,2.24,499254000.0,0
1996-04-01,1996,4,7.83,5.016,156.1,151.6,134.7,50.65,2.56,499254000.0,0
1996-05-01,1996,5,8.09,5.1726,156.4,152.0,139.8,60.96,3.32,499254000.0,0
1996-06-01,1996,6,8.18,5.2202,156.7,152.3,140.9,69.84,2.86,499254000.0,0
1996-07-01,1996,7,8.02,5.1083,157.0,152.8,142.0,73.62,3.11,499254000.0,0
1996-08-01,1996,8,5.59,3.556,157.2,153.1,135.0,72.41,2.66,499254000.0,0
1996-09-01,1996,9,4.93,3.1262,157.7,153.5,123.1,63.45,3.44,499254000.0,0
1996-10-01,1996,10,4.76,3.0088,158.2,154.2,112.4,53.64,2.49,499254000.0,0
1996-11-01,1996,11,4.43,2.7914,158.7,154.7,113.0,39.63,3.0,499254000.0,0
1996-12-01,1996,12,4.32,2.7153,159.1,155.0,104.2,33.91,3.28,499254000.0,0
1997-01-01,1997,1,4.22,2.6474,159.4,155.3,107.4,29.97,2.81,467091000.0,0
1997-02-01,1997,2,4.56,2.8554,159.7,155.6,110.8,36.05,2.38,467091000.0,0
1997-03-01,1997,3,4.64,2.9036,159.8,156.0,114.7,44.65,2.44,467091000.0,0
1997-04-01,1997,4,4.67,2.9206,159.9,156.2,109.0,47.91,2.99,467091000.0,0
1997-05-01,1997,5,5.31,3.3208,159.9,156.3,108.4,59.38,2.78,467091000.0,0
1997-06-01,1997,6,5.67,3.5393,160.2,156.6,110.9,68.29,3.4,467091000.0,0
1997-07-01,1997,7,5.66,3.5287,160.4,157.1,92.4,73.17,2.7,467091000.0,0
1997-08-01,1997,8,6.31,3.9241,160.8,157.4,97.1,71.73,2.68,467091000.0,0
1997-09-01,1997,9,5.08,3.1514,161.2,157.8,99.7,66.4,2.54,467091000.0,0
1997-10-01,1997,10,4.93,3.0526,161.5,158.2,99.1,53.91,2.52,467091000.0,0
1997-11-01,1997,11,5.12,3.1664,161.7,158.6,91.5,40.86,2.28,467091000.0,0
1997-12-01,1997,12,5.36,3.3127,161.8,159.0,105.9,34.0,2.3,467091000.0,0
1998-01-01,1998,1,5.41,3.3395,162.0,159.2,97.8,34.99,3.35,475667000.0,0
1998-02-01,1998,2,5.88,3.6296,162.0,159.6,112.7,38.71,3.32,475667000.0,0
1998-03-01,1998,3,6.41,3.9568,162.0,159.9,102.6,41.32,3.22,475667000.0,0
1998-04-01,1998,4,6.27,3.8656,162.2,160.2,94.1,51.06,2.56,475667000.0,0
1998-05-01,1998,5,6.46,3.9729,162.6,160.6,91.6,62.46,2.62,475667000.0,0
1998-06-01,1998,6,6.13,3.7654,162.8,160.7,87.4,68.11,3.32,475667000.0,0
1998-07-01,1998,7,5.78,3.5417,163.2,161.1,84.8,75.45,2.86,475667000.0,0
1998-08-01,1998,8,5.38,3.2925,163.4,161.5,77.2,73.99,2.41,475667000.0,0
1998-09-01,1998,9,5.08,3.107,163.5,162.1,83.9,68.95,2.51,475667000.0,0
1998-10-01,1998,10,4.55,2.7761,163.9,162.3,83.4,55.11,2.97,475667000.0,0
1998-11-01,1998,11,5.02,3.0591,164.1,162.6,82.9,44.89,2.63,475667000.0,0
1998-12-01,1998,12,5.29,3.2178,164.4,163.0,82.4,35.55,2.08,475667000.0,0
1999-01-01,1999,1,5.5,3.3394,164.7,163.5,81.9,33.78,3.13,478093000.0,0
1999-02-01,1999,2,5.75,3.4912,164.7,163.8,81.6,39.49,1.92,478093000.0,0
1999-03-01,1999,3,6.12,3.7136,164.8,164.2,81.3,42.78,2.19,478093000.0,0
1999-04-01,1999,4,6.5,3.918,165.9,164.5,80.08,51.55,2.87,478093000.0,0
1999-05-01,1999,5,6.06,3.6506,166.0,164.6,78.86,60.04,2.91,478093000.0,0
1999-06-01,1999,6,6.54,3.9398,166.0,164.6,77.64,68.29,3.31,478093000.0,0
1999-07-01,1999,7,7.35,4.4091,166.7,165.1,76.42,74.28,2.58,478093000.0,0
1999-08-01,1999,8,5.91,3.5368,167.1,165.6,75.2,72.88,2.29,478093000.0,0
1999-09-01,1999,9,5.33,3.1764,167.8,165.8,70.9,64.33,2.52,478093000.0,0
1999-10-01,1999,10,4.98,2.9625,168.1,166.2,74.5,54.75,1.57,478093000.0,0
1999-11-01,1999,11,5.58,3.3135,168.4,166.5,74.5,48.11,1.44,478093000.0,0
1999-12-01,1999,12,5.68,3.3649,168.8,166.8,74.5,36.1,1.73,478093000.0,0
2000-01-01,2000,1,5.56,3.2841,169.3,167.2,73.7,33.57,2.14,513544000.0,0
2000-02-01,2000,2,5.78,3.4,170.0,167.6,72.8,39.78,2.12,513544000.0,0
2000-03-01,2000,3,6.14,3.5906,171.0,167.9,79.7,46.02,2.44,513544000.0,0
2000-04-01,2000,4,6.49,3.7975,170.9,168.1,86.8,52.57,2.32,513544000.0,0
2000-05-01,2000,5,6.28,3.6682,171.2,168.3,87.33611111111111,63.12,2.66,513544000.0,0
2000-06-01,2000,6,5.97,3.4669,172.2,168.6,87.87222222222222,69.01,3.45,513544000.0,0
2000-07-01,2000,7,6.58,3.8101,172.7,169.1,88.40833333333333,73.85,2.3,513544000.0,0
2000-08-01,2000,8,5.32,3.0805,172.7,169.5,88.94444444444444,74.01,1.91,513544000.0,0
2000-09-01,2000,9,4.79,2.7592,173.6,170.0,89.48055555555555,65.55,2.18,513544000.0,0
2000-10-01,2000,10,4.39,2.5244,173.9,170.3,90.01666666666667,55.08,2.26,513544000.0,0
2000-11-01,2000,11,4.5,2.5832,174.2,170.4,90.55277777777778,38.01,2.73,513544000.0,0
2000-12-01,2000,12,4.93,2.8236,174.6,170.8,91.08888888888889,28.44,1.71,513544000.0,0
2001-01-01,2001,1,4.72,2.6879,175.6,171.4,91.625,31.37,1.85,437673000.0,0
2001-02-01,2001,2,5.28,3.0,176.0,171.8,92.16111111111111,33.96,2.21,437673000.0,0
2001-03-01,2001,3,5.12,2.9074,176.1,172.3,92.69722222222222,41.47,2.57,437673000.0,0
2001-04-01,2001,4,5.47,3.1009,176.4,172.7,93.23333333333333,53.08,2.1,437673000.0,0
2001-05-01,2001,5,5.22,2.9442,177.3,173.1,93.76944444444445,62.8,2.78,437673000.0,0
2001-06-01,2001,6,5.71,3.2133,177.7,173.6,94.30555555555556,69.21,3.12,437673000.0,0
2001-07-01,2001,7,6.36,3.5851,177.4,174.1,94.84166666666667,74.44,2.72,437673000.0,0
2001-08-01,2001,8,7.2,4.0586,177.4,174.7,95.37777777777777,74.28,2.41,437673000.0,0
2001-09-01,2001,9,6.23,3.498,178.1,175.1,95.91388888888889,65.68,2.45,437673000.0,0
2001-10-01,2001,10,5.28,2.973,177.6,175.6,96.44999999999999,54.36,2.06,437673000.0,0
2001-11-01,2001,11,6.16,3.4704,177.5,175.8,96.9861111111111,47.39,2.39,437673000.0,0
2001-12-01,2001,12,6.73,3.7937,177.4,176.0,97.52222222222221,36.12,2.36,437673000.0,0
2002-01-01,2002,1,7.34,4.1306,177.7,176.4,98.05833333333332,34.48,2.01,458171000.0,0
2002-02-01,2002,2,7.33,4.118,178.0,177.0,98.59444444444443,36.39,1.32,458171000.0,0
2002-03-01,2002,3,8.24,4.6162,178.5,177.1,99.13055555555555,39.54,2.59,458171000.0,0
2002-04-01,2002,4,8.01,4.4674,179.3,177.2,99.66666666666666,53.49,2.26,458171000.0,0
2002-05-01,2002,5,8.59,4.7855,179.5,177.6,100.20277777777777,59.27,2.64,458171000.0,0
2002-06-01,2002,6,9.38,5.2227,179.6,178.2,100.73888888888888,70.84,2.56,458171000.0,0
2002-07-01,2002,7,10.59,5.8833,180.0,178.5,101.27499999999999,75.83,2.6,458171000.0,0
2002-08-01,2002,8,7.39,4.0942,180.5,178.8,101.8111111111111,72.82,2.4,458171000.0,0
2002-09-01,2002,9,6.29,3.479,180.8,179.2,102.34722222222221,66.83,2.72,458171000.0,0
2002-10-01,2002,10,5.53,3.0519,181.2,179.6,102.88333333333333,51.82,3.01,458171000.0,0
2002-11-01,2002,11,6.24,3.438,181.5,179.8,103.41944444444444,41.95,1.94,458171000.0,0
2002-12-01,2002,12,6.62,3.6414,181.8,180.1,103.95555555555555,35.08,3.0,458171000.0,0
2003-01-01,2003,1,6.44,3.5268,182.6,179.9,104.49166666666666,32.81,1.33,458199000.0,0
2003-02-01,2003,2,6.47,3.524,183.6,180.7,105.02777777777777,32.79,2.57,458199000.0,0
2003-03-01,2003,3,6.79,3.6922,183.9,181.0,105.56388888888888,43.29,2.48,458199000.0,0
2003-04-01,2003,4,6.98,3.81,183.2,181.1,106.1,51.89,2.63,458199000.0,0
2003-05-01,2003,5,6.93,3.789,182.9,181.5,103.6,60.96,3.26,458199000.0,0
2003-06-01,2003,6,6.69,3.6537,183.1,181.9,103.4,68.02,3.45,458199000.0,0
2003-07-01,2003,7,6.82,3.7126,183.7,182.3,91.7,75.43,2.64,458199000.0,0
2003-08-01,2003,8,5.78,3.1328,184.5,182.6,89.8,74.62,2.56,458199000.0,0
2003-09-01,2003,9,5.16,2.7877,185.1,182.8,92.8,64.94,2.82,458199000.0,0
2003-10-01,2003,10,4.85,2.623,184.9,183.3,86.5,56.53,1.83,458199000.0,0
2003-11-01,2003,11,5.21,2.8162,185.0,183.8,90.0,42.35,2.55,458199000.0,0
2003-12-01,2003,12,5.56,2.9973,185.5,184.3,90.5,35.29,2.37,458199000.0,0
2004-01-01,2004,1,5.7,3.0596,186.3,184.9,98.1,30.36,1.97,455806000.0,0
2004-02-01,2004,2,5.93,3.1762,186.7,185.5,94.9,33.57,2.44,455806000.0,0
2004-03-01,2004,3,6.11,3.2656,187.1,185.8,98.7,47.39,2.01,455806000.0,0
2004-04-01,2004,4,6.62,3.5326,187.4,186.2,100.7,52.66,2.5,455806000.0,0
2004-05-01,2004,5,6.37,3.3847,188.2,186.7,98.4,61.9,3.34,455806000.0,0
2004-06-01,2004,6,6.44,3.4092,188.9,187.0,95.2,68.05,3.51,455806000.0,0
2004-07-01,2004,7,6.14,3.247,189.1,187.8,91.7,72.88,3.05,455806000.0,0
2004-08-01,2004,8,5.57,2.944,189.2,188.4,87.6,70.14,3.04,455806000.0,0
2004-09-01,2004,9,5.16,2.7187,189.8,188.9,95.3,65.64,2.98,455806000.0,0
2004-10-01,2004,10,4.61,2.4161,190.8,189.4,89.2,55.35,3.03,455806000.0,0
2004-11-01,2004,11,4.89,2.5509,191.7,189.6,89.3,43.99,3.18,455806000.0,0
2004-12-01,2004,12,5.28,2.7543,191.7,189.9,93.0,35.06,2.18,455806000.0,0
2005-01-01,2005,1,5.64,2.9436,191.6,190.8,98.6,33.39,2.7,423788000.0,0
2005-02-01,2005,2,5.83,3.0301,192.4,191.4,98.8,37.94,2.06,423788000.0,0
2005-03-01,2005,3,6.44,3.3351,193.1,191.7,100.1,42.31,2.34,423788000.0,0
2005-04-01,2005,4,6.19,3.1957,193.7,192.1,100.0,52.25,2.57,423788000.0,0
2005-05-01,2005,5,6.06,3.1302,193.6,192.6,88.3,59.54,2.76,423788000.0,0
2005-06-01,2005,6,6.31,3.2576,193.7,193.2,95.7,69.19,3.14,423788000.0,0
2005-07-01,2005,7,7.1,3.6429,194.9,193.6,102.1,75.29,2.7,423788000.0,0
2005-08-01,2005,8,6.48,3.3044,196.1,194.2,98.4,73.18,2.99,423788000.0,0
2005-09-01,2005,9,5.64,2.837,198.8,194.6,92.2,67.35,1.94,423788000.0,0
2005-10-01,2005,10,5.38,2.7022,199.1,195.2,99.3,55.36,2.37,423788000.0,0
2005-11-01,2005,11,6.35,3.2055,198.1,195.6,99.2,45.0,2.22,423788000.0,0
2005-12-01,2005,12,6.87,3.4679,198.1,196.0,99.4,32.7,2.29,423788000.0,0
2006-01-01,2006,1,7.09,3.5575,199.3,196.6,108.1,38.93,2.61,440698000.0,0
2006-02-01,2006,2,6.8,3.4102,199.4,197.2,108.1,34.83,1.52,440698000.0,0
2006-03-01,2006,3,8.48,4.2464,199.7,197.6,104.0,42.6,2.31,440698000.0,0
2006-04-01,2006,4,8.36,4.1654,200.7,198.0,104.2,55.24,2.54,440698000.0,0
2006-05-01,2006,5,7.73,3.84,201.3,198.7,111.3,62.26,2.29,440698000.0,0
2006-06-01,2006,6,8.46,4.1923,201.8,199.2,115.3,70.74,2.56,440698000.0,0
2006-07-01,2006,7,9.32,4.5934,202.9,199.7,120.6,76.39,2.46,440698000.0,0
2006-08-01,2006,8,7.55,3.7046,203.8,200.2,106.0,73.38,2.8,440698000.0,0
2006-09-01,2006,9,6.12,3.0178,202.8,200.5,111.2,63.28,2.8,440698000.0,0
2006-10-01,2006,10,5.68,2.8133,201.9,201.1,120.2,52.57,2.9,440698000.0,0
2006-11-01,2006,11,6.68,3.3069,202.0,201.6,137.3,44.08,2.46,440698000.0,0
2006-12-01,2006,12,6.92,3.4072,203.1,202.2,138.3,36.57,2.57,440698000.0,0
2007-01-01,2007,1,7.15,3.5146,203.437,203.171,136.5,31.35,2.22,444875000.0,0
2007-02-01,2007,2,7.38,3.6136,204.226,203.909,134.7,32.41,1.75,444875000.0,0
2007-03-01,2007,3,7.92,3.858,205.288,204.082,142.6,47.64,2.31,444875000.0,0
2007-04-01,2007,4,8.69,4.2204,205.904,204.725,154.3,50.54,2.49,444875000.0,0
2007-05-01,2007,5,7.94,3.8403,206.755,205.233,144.9,62.31,2.75,444875000.0,0
2007-06-01,2007,6,7.74,3.7349,207.234,205.934,157.0,69.85,2.91,444875000.0,0
2007-07-01,2007,7,7.96,3.8342,207.603,206.931,150.0,74.68,2.88,444875000.0,0
2007-08-01,2007,8,6.7,3.2263,207.667,207.756,143.8,74.62,2.6,444875000.0,0
2007-09-01,2007,9,5.79,2.7764,208.547,208.805,153.4,66.42,2.17,444875000.0,0
2007-10-01,2007,10,5.67,2.7105,209.19,209.275,160.4,56.66,2.71,444875000.0,0
2007-11-01,2007,11,6.47,3.0688,210.834,209.854,161.9,43.99,1.4,444875000.0,0
2007-12-01,2007,12,7.21,3.4099,211.445,210.233,163.9,33.22,2.97,444875000.0,0
2008-01-01,2008,1,7.5,3.5348,212.174,211.07,177.5,30.27,2.21,415055000.0,0
2008-02-01,2008,2,7.76,3.6486,212.687,211.878,181.9,34.7,2.47,415055000.0,0
2008-03-01,2008,3,7.87,3.6871,213.448,212.537,197.8,41.86,2.52,415055000.0,0
2008-04-01,2008,4,8.45,3.9497,213.942,213.083,198.4,50.38,2.54,415055000.0,0
2008-05-01,2008,5,9.23,4.2889,215.208,213.967,200.7,59.34,3.0,415055000.0,0
2008-06-01,2008,6,10.37,4.7686,217.463,215.015,195.7,69.58,3.0,415055000.0,0
2008-07-01,2008,7,10.98,5.0133,219.016,216.376,201.6,74.05,2.8,415055000.0,0
2008-08-01,2008,8,10.71,4.8973,218.69,217.063,201.6,72.25,3.05,415055000.0,0
2008-09-01,2008,9,8.65,3.952,218.877,218.225,201.6,65.19,2.68,415055000.0,0
2008-10-01,2008,10,7.6,3.5024,216.995,219.29,174.1,53.98,2.18,415055000.0,0
2008-11-01,2008,11,8.77,4.1144,213.153,220.043,125.6,43.92,1.95,415055000.0,0
2008-12-01,2008,12,9.3,4.3993,211.398,220.684,120.4,31.87,2.84,415055000.0,0
2009-01-01,2009,1,9.27,4.374,211.933,221.319,122.5,31.05,1.6,432601000.0,0
2009-02-01,2009,2,9.07,4.2641,212.705,221.968,118.2,36.77,1.55,432601000.0,0
2009-03-01,2009,3,9.33,4.3907,212.495,222.216,116.0,42.87,2.7,432601000.0,0
2009-04-01,2009,4,9.44,4.438,212.709,222.905,119.1,50.9,2.82,432601000.0,0
2009-05-01,2009,5,9.46,4.4409,213.022,223.023,127.9,61.63,3.31,432601000.0,0
2009-06-01,2009,6,9.48,4.4136,214.79,223.163,134.2,68.5,3.01,432601000.0,0
2009-07-01,2009,7,8.63,4.0191,214.726,223.345,123.3,72.61,3.07,432601000.0,0
2009-08-01,2009,8,8.54,3.9639,215.445,223.675,111.7,71.87,2.69,432601000.0,0
2009-09-01,2009,9,8.01,3.7107,215.861,224.003,110.7,66.36,2.54,432601000.0,0
2009-10-01,2009,10,7.11,3.2839,216.509,224.224,123.8,50.49,4.29,432601000.0,0
2009-11-01,2009,11,7.22,3.3236,217.234,224.633,129.2,45.82,1.63,432601000.0,0
2009-12-01,2009,12,7.47,3.4369,217.347,224.789,127.9,29.64,3.08,432601000.0,0
2010-01-01,2010,1,7.45,3.4255,217.488,224.916,125.2,30.67,2.62,404549000.0,0
2010-02-01,2010,2,7.79,3.5852,217.281,225.081,118.9,31.8,2.01,404549000.0,0
2010-03-01,2010,3,7.86,3.6162,217.353,224.991,117.1,43.56,2.3,404549000.0,0
2010-04-01,2010,4,8.36,3.8454,217.403,225.276,113.8,53.24,2.38,404549000.0,0
2010-05-01,2010,5,8.87,4.0821,217.29,225.573,108.3,59.86,3.31,404549000.0,0
2010-06-01,2010,6,8.22,3.7845,217.199,225.797,144.2,70.47,3.49,404549000.0,0
2010-07-01,2010,7,8.25,3.7913,217.605,225.71,136.6,74.7,3.32,404549000.0,0
2010-08-01,2010,8,7.88,3.616,217.923,226.422,146.6,74.03,2.51,404549000.0,0
2010-09-01,2010,9,7.26,3.3261,218.275,227.075,184.7,66.47,2.78,404549000.0,0
2010-10-01,2010,10,7.26,3.3145,219.035,227.287,204.1,56.14,1.97,404549000.0,0
2010-11-01,2010,11,8.08,3.6796,219.59,227.512,198.7,42.31,2.22,404549000.0,0
2010-12-01,2010,12,9.92,4.4994,220.472,227.722,211.9,32.47,2.45,404549000.0,0
2011-01-01,2011,1,8.95,4.0463,221.187,228.181,194.0,29.71,1.65,430037000.0,0
2011-02-01,2011,2,9.17,4.1325,221.898,228.606,200.6,33.04,1.98,430037000.0,0
2011-03-01,2011,3,10.77,4.8286,223.046,229.282,168.6,43.07,2.91,430037000.0,0
2011-04-01,2011,4,10.85,4.8417,224.093,230.082,193.6,51.96,3.41,430037000.0,0
2011-05-01,2011,5,10.7,4.7597,224.806,230.501,180.9,59.11,3.43,430037000.0,0
2011-06-01,2011,6,10.91,4.8531,224.806,231.097,196.4,69.8,2.58,430037000.0,0
2011-07-01,2011,7,12.81,5.6834,225.395,231.58,188.5,76.12,2.44,430037000.0,0
2011-08-01,2011,8,10.08,4.4581,226.106,232.513,180.1,74.98,2.34,430037000.0,0
2011-09-01,2011,9,8.05,3.5526,226.597,233.032,186.1,66.07,2.48,430037000.0,0
2011-10-01,2011,10,7.47,3.2944,226.75,233.459,180.8,55.08,2.14,430037000.0,0
2011-11-01,2011,11,8.59,3.7813,227.169,234.046,176.7,43.74,2.47,430037000.0,0
2011-12-01,2011,12,9.06,3.9873,227.223,234.435,173.5,35.4,2.26,430037000.0,0
2012-01-01,2012,1,9.14,4.0116,227.842,235.268,171.2,36.12,2.09,464970000.0,0
2012-02-01,2012,2,9.14,4.003,228.329,235.603,182.1,37.51,1.85,464970000.0,0
2012-03-01,2012,3,10.16,4.4404,228.807,236.073,185.0,50.4,2.87,464970000.0,0
2012-04-01,2012,4,11.42,4.9828,229.187,236.695,191.5,54.68,2.22,464970000.0,0
2012-05-01,2012,5,10.56,4.6171,228.713,237.262,191.4,63.43,2.5,464970000.0,0
2012-06-01,2012,6,9.66,4.2271,228.524,237.839,182.9,70.52,2.24,464970000.0,0
2012-07-01,2012,7,9.42,4.1209,228.59,238.337,209.9,76.73,2.51,464970000.0,0
2012-08-01,2012,8,9.04,3.9318,229.918,239.057,185.7,73.78,2.47,464970000.0,0
2012-09-01,2012,9,7.32,3.1686,231.015,239.565,200.5,66.29,2.34,464970000.0,0
2012-10-01,2012,10,7.04,3.0392,231.638,239.742,209.8,53.89,2.23,464970000.0,0
2012-11-01,2012,11,7.41,3.2043,231.249,240.038,204.7,44.01,1.32,464970000.0,0
2012-12-01,2012,12,7.76,3.3561,231.221,240.359,213.4,35.92,2.88,464970000.0,0
2013-01-01,2013,1,8.28,3.5739,231.679,240.713,209.2,32.25,2.37,438662000.0,0
2013-02-01,2013,2,8.13,3.4902,232.937,240.93,215.8,34.77,2.01,438662000.0,0
2013-03-01,2013,3,8.91,3.8359,232.282,241.409,224.0,40.89,1.71,438662000.0,0
2013-04-01,2013,4,8.99,3.8784,231.797,242.236,213.6,49.66,2.9,438662000.0,0
2013-05-01,2013,5,9.73,4.1959,231.893,242.642,218.2,60.84,3.35,438662000.0,0
2013-06-01,2013,6,10.76,4.6291,232.445,243.016,225.1,70.38,3.34,438662000.0,0
2013-07-01,2013,7,12.47,5.3542,232.9,243.409,212.5,74.19,3.34,438662000.0,0
2013-08-01,2013,8,11.23,4.8103,233.456,243.811,207.3,72.97,2.56,438662000.0,0
2013-09-01,2013,9,8.83,3.7809,233.544,244.036,189.5,66.94,2.98,438662000.0,0
2013-10-01,2013,10,8.15,3.4878,233.669,244.35,191.5,53.42,2.23,438662000.0,0
2013-11-01,2013,11,9.09,3.883,234.1,244.97,199.3,41.61,2.04,438662000.0,0
2013-12-01,2013,12,9.23,3.9324,234.719,245.3,205.5,31.06,2.21,438662000.0,0
2014-01-01,2014,1,9.42,4.0036,235.288,245.481,221.4,30.56,1.37,448693000.0,0
2014-02-01,2014,2,9.58,4.0671,235.547,246.187,225.5,32.13,2.24,448693000.0,0
2014-03-01,2014,3,9.81,4.1563,236.028,246.878,226.9,40.51,2.37,448693000.0,0
2014-04-01,2014,4,10.27,4.3431,236.468,247.534,232.1,51.69,2.87,448693000.0,0
2014-05-01,2014,5,9.83,4.1491,236.918,247.952,220.0,61.27,2.81,448693000.0,0
2014-06-01,2014,6,10.53,4.4387,237.231,248.445,247.0,69.57,3.67,448693000.0,0
2014-07-01,2014,7,9.4,3.9579,237.498,249.21,208.7,73.27,2.6,448693000.0,0
2014-08-01,2014,8,8.78,3.6975,237.46,249.801,210.6,72.21,3.13,448693000.0,0
2014-09-01,2014,9,8.08,3.4024,237.477,250.57,213.1,66.16,2.63,448693000.0,0
2014-10-01,2014,10,7.27,3.062,237.43,251.1,197.4,56.91,2.42,448693000.0,0
2014-11-01,2014,11,8.16,3.4433,236.983,251.987,191.4,39.25,2.13,448693000.0,0
2014-12-01,2014,12,8.66,3.6656,236.252,252.628,192.9,36.81,2.57,448693000.0,0
2015-01-01,2015,1,9.11,3.8808,234.747,253.037,185.6,33.08,1.83,448611000.0,0
2015-02-01,2015,2,9.13,3.8795,235.342,253.719,179.0,32.99,1.74,448611000.0,0
2015-03-01,2015,3,9.44,4.0004,235.976,254.108,184.8,45.39,2.13,448611000.0,0
2015-04-01,2015,4,9.75,4.1275,236.222,254.727,175.8,53.22,2.83,448611000.0,0
2015-05-01,2015,5,10.36,4.3713,237.001,255.322,168.3,60.82,4.44,448611000.0,0
2015-06-01,2015,6,9.51,4.0016,237.657,255.846,173.4,71.33,3.55,448611000.0,0
2015-07-01,2015,7,9.1,3.823,238.034,255.905,172.9,73.89,3.23,448611000.0,0
2015-08-01,2015,8,8.47,3.5583,238.033,256.449,162.5,72.91,2.41,448611000.0,0
2015-09-01,2015,9,7.61,3.2042,237.498,257.83,161.9,68.5,2.12,448611000.0,0
2015-10-01,2015,10,7.25,3.0496,237.733,258.363,160.2,57.24,2.9,448611000.0,0
2015-11-01,2015,11,8.24,3.4619,238.017,258.805,158.1,44.58,3.35,448611000.0,0
2015-12-01,2015,12,8.39,3.5288,237.761,259.097,146.8,38.64,4.05,448611000.0,0
2016-01-01,2016,1,8.65,3.6398,237.652,259.958,155.6,32.22,2.04,450324000.0,0
2016-02-01,2016,2,8.65,3.6446,237.336,260.319,154.3,39.47,1.93,450324000.0,0
2016-03-01,2016,3,9.44,3.9651,238.08,260.883,152.4,47.48,2.92,450324000.0,0
2016-04-01,2016,4,9.64,4.0336,238.992,261.517,149.4,53.19,3.0,450324000.0,0
2016-05-01,2016,5,9.93,4.1452,239.557,262.074,149.3,60.31,3.07,450324000.0,0
2016-06-01,2016,6,10.45,4.3501,240.222,262.529,158.7,71.74,2.48,450324000.0,0
2016-07-01,2016,7,9.56,3.9817,240.101,263.051,162.6,75.2,2.91,450324000.0,0
2016-08-01,2016,8,9.08,3.7748,240.545,263.649,143.8,73.51,3.47,450324000.0,0
2016-09-01,2016,9,7.97,3.3046,241.176,264.102,139.7,67.1,2.73,450324000.0,0
2016-10-01,2016,10,7.69,3.1811,241.741,264.459,143.3,57.7,2.39,450324000.0,0
2016-11-01,2016,11,8.54,3.5285,242.026,264.699,169.7,47.95,1.75,450324000.0,0
2016-12-01,2016,12,8.9,3.668,242.637,265.104,176.1,32.95,2.72,450324000.0,0
2017-01-01,2017,1,8.57,3.5178,243.618,266.079,169.0,33.57,3.23,450921000.0,0
2017-02-01,2017,2,8.82,3.6147,244.006,266.626,171.6,41.16,2.25,450921000.0,0
2017-03-01,2017,3,9.13,3.7435,243.892,267.055,176.3,46.13,2.59,450921000.0,0
2017-04-01,2017,4,9.38,3.8412,244.193,267.652,172.6,53.78,3.5,450921000.0,0
2017-05-01,2017,5,9.53,3.9057,244.004,268.128,168.3,60.55,3.36,450921000.0,0
2017-06-01,2017,6,9.24,3.7844,244.163,268.225,174.4,70.32,3.06,450921000.0,0
2017-07-01,2017,7,9.31,3.8118,244.243,268.649,177.4,75.69,2.8,450921000.0,0
2017-08-01,2017,8,8.86,3.6136,245.183,269.522,187.1,72.0,3.42,450921000.0,1
2017-09-01,2017,9,7.68,3.1164,246.435,270.353,174.4,66.25,2.27,450921000.0,1
2017-10-01,2017,10,7.19,2.9153,246.626,270.658,182.7,55.69,2.6,450921000.0,1
2017-11-01,2017,11,7.88,3.1866,247.284,271.152,191.7,45.03,1.62,450921000.0,1
2017-12-01,2017,12,8.35,3.3696,247.805,271.811,170.3,34.29,1.59,450921000.0,1
